timestamp,pack_voltage,pack_current,soc,min_cell_volt,max_cell_volt,min_temp,max_temp,state,faults,cell_0_0,cell_0_1,cell_0_2,cell_0_3,cell_0_4,cell_0_5,cell_0_6,cell_0_7,cell_0_8,cell_0_9,cell_0_10,cell_0_11,bal_0_0,bal_0_1,bal_0_2,bal_0_3,bal_0_4,bal_0_5,bal_0_6,bal_0_7,bal_0_8,bal_0_9,bal_0_10,bal_0_11
1717503177646,39.5886,0,0.0,3.296508,3.300933,100.0000,-20.0000,3,,3.296508,3.300933,3.298339,3.29956,3.29956,3.298492,3.300018,3.299255,3.29956,3.299407,3.298645,3.298339,0,0,0,0,0,0,0,0,0,0,0,0
1717503177665,39.5886,0,0.0,3.296508,3.300933,100.0000,-20.0000,3,,3.296508,3.300933,3.298339,3.29956,3.29956,3.298492,3.300018,3.299255,3.29956,3.299407,3.298645,3.298339,0,0,0,0,0,0,0,0,0,0,0,0
1717503177886,39.5868,0,0.0,3.296203,3.299865,100.0000,-20.0000,3,,3.296203,3.299713,3.297729,3.299102,3.299255,3.298797,3.29895,3.29895,3.299865,3.299865,3.299255,3.299102,0,0,0,0,0,0,0,0,0,0,0,0
1717503177905,39.5868,0,0.0,3.296203,3.299865,100.0000,-20.0000,3,,3.296203,3.299713,3.297729,3.299102,3.299255,3.298797,3.29895,3.29895,3.299865,3.299865,3.299255,3.299102,0,0,0,0,0,0,0,0,0,0,0,0
1717503178145,39.5834,0,0.0,3.296203,3.300018,100.0000,-20.0000,3,,3.296203,3.300018,3.298187,3.29895,3.298797,3.298492,3.29895,3.29895,3.299255,3.29895,3.29895,3.297729,0,0,0,0,0,0,0,0,0,0,0,0
1717503178165,39.5834,0,0.0,3.296203,3.300018,100.0000,-20.0000,3,,3.296203,3.300018,3.298187,3.29895,3.298797,3.298492,3.29895,3.29895,3.299255,3.29895,3.29895,3.297729,0,0,0,0,0,0,0,0,0,0,0,0
1717503178385,39.5827,0,0.0,3.296203,3.299407,100.0000,-20.0000,3,,3.296203,3.299255,3.298034,3.299102,3.298339,3.298034,3.299407,3.299255,3.299407,3.299255,3.298797,3.297576,0,0,0,0,0,0,0,0,0,0,0,0
1717503178405,39.5827,0,0.0,3.296203,3.299407,100.0000,-20.0000,3,,3.296203,3.299255,3.298034,3.299102,3.298339,3.298034,3.299407,3.299255,3.299407,3.299255,3.298797,3.297576,0,0,0,0,0,0,0,0,0,0,0,0
1717503178645,39.5877,0,0.0,3.295898,3.300476,100.0000,-20.0000,3,,3.295898,3.299407,3.297576,3.298645,3.299102,3.298492,3.299102,3.30017,3.300476,3.300323,3.299255,3.299255,0,0,0,0,0,0,0,0,0,0,0,0
1717503178665,39.5877,0,0.0,3.295898,3.300476,100.0000,-20.0000,3,,3.295898,3.299407,3.297576,3.298645,3.299102,3.298492,3.299102,3.30017,3.300476,3.300323,3.299255,3.299255,0,0,0,0,0,0,0,0,0,0,0,0
1717503178885,39.5869,0,0.0,3.296813,3.300476,100.0000,-20.0000,3,,3.296813,3.300476,3.297729,3.29895,3.298645,3.298492,3.29956,3.299255,3.29956,3.299407,3.29956,3.298492,0,0,0,0,0,0,0,0,0,0,0,0
1717503178905,39.5869,0,0.0,3.296813,3.300476,100.0000,-20.0000,3,,3.296813,3.300476,3.297729,3.29895,3.298645,3.298492,3.29956,3.299255,3.29956,3.299407,3.29956,3.298492,0,0,0,0,0,0,0,0,0,0,0,0
1717503179145,39.5856,0,0.0,3.296356,3.300018,100.0000,-20.0000,3,,3.296356,3.300018,3.298034,3.299255,3.299407,3.298492,3.299255,3.299407,3.299255,3.299713,3.298797,3.297576,0,0,0,0,0,0,0,0,0,0,0,0
1717503179165,39.5856,0,0.0,3.296356,3.300018,100.0000,-20.0000,3,,3.296356,3.300018,3.298034,3.299255,3.299407,3.298492,3.299255,3.299407,3.299255,3.299713,3.298797,3.297576,0,0,0,0,0,0,0,0,0,0,0,0
1717503179385,39.5850,0,0.0,3.296203,3.299713,100.0000,-20.0000,3,,3.296203,3.299713,3.298339,3.299255,3.29895,3.298645,3.299713,3.299407,3.299102,3.299255,3.298645,3.297729,0,0,0,0,0,0,0,0,0,0,0,0
