timestamp,pack_voltage,pack_current,soc,min_cell_volt,max_cell_volt,min_temp,max_temp,state,faults,cell_0_0,cell_0_1,cell_0_2,cell_0_3,cell_0_4,cell_0_5,cell_0_6,cell_0_7,cell_0_8,cell_0_9,cell_0_10,cell_0_11,bal_0_0,bal_0_1,bal_0_2,bal_0_3,bal_0_4,bal_0_5,bal_0_6,bal_0_7,bal_0_8,bal_0_9,bal_0_10,bal_0_11,temp_0_0
1716816663524,39.6484,0,0.0,3.2463,3.3586,25.054,25.054,3,,3.2463,3.2602,3.2680,3.2797,3.2892,3.2991,3.3099,3.3197,3.3292,3.3395,3.3490,3.3586,0,0,0,0,0,0,0,0,0,0,0,0,25.054
1716816663544,39.6484,0,0.0,3.2463,3.3586,25.054,25.054,3,,3.2463,3.2602,3.2680,3.2797,3.2892,3.2991,3.3099,3.3197,3.3292,3.3395,3.3490,3.3586,0,0,0,0,0,0,0,0,0,0,0,0,25.054
1716816663784,39.6464,0,0.0,3.2466,3.3591,25.065,25.065,3,,3.2466,3.2599,3.2674,3.2796,3.2889,3.2988,3.3090,3.3194,3.3293,3.3395,3.3490,3.3591,0,0,0,0,0,0,0,0,0,0,0,0,25.065
1716816663806,39.6464,0,0.0,3.2466,3.3591,25.065,25.065,3,,3.2466,3.2599,3.2674,3.2796,3.2889,3.2988,3.3090,3.3194,3.3293,3.3395,3.3490,3.3591,0,0,0,0,0,0,0,0,0,0,0,0,25.065
1716816664026,39.6477,0,0.0,3.2468,3.3589,25.054,25.054,3,,3.2468,3.2602,3.2680,3.2791,3.2887,3.2991,3.3092,3.3192,3.3296,3.3395,3.3493,3.3589,0,0,0,0,0,0,0,0,0,0,0,0,25.054
1716816664044,39.6477,0,0.0,3.2468,3.3589,25.054,25.054,3,,3.2468,3.2602,3.2680,3.2791,3.2887,3.2991,3.3092,3.3192,3.3296,3.3395,3.3493,3.3589,0,0,0,0,0,0,0,0,0,0,0,0,25.054
1716816664284,39.6469,0,0.0,3.2463,3.3588,25.067,25.067,3,,3.2463,3.2603,3.2680,3.2796,3.2892,3.2988,3.3092,3.3189,3.3296,3.3394,3.3488,3.3588,0,0,0,0,0,0,0,0,0,0,0,0,25.067
1716816664304,39.6469,0,0.0,3.2463,3.3588,25.067,25.067,3,,3.2463,3.2603,3.2680,3.2796,3.2892,3.2988,3.3092,3.3189,3.3296,3.3394,3.3488,3.3588,0,0,0,0,0,0,0,0,0,0,0,0,25.067
1716816664524,39.6478,0,0.0,3.2462,3.3591,25.059,25.059,3,,3.2462,3.2600,3.2678,3.2794,3.2892,3.2994,3.3090,3.3192,3.3296,3.3395,3.3493,3.3591,0,0,0,0,0,0,0,0,0,0,0,0,25.059
1716816664544,39.6478,0,0.0,3.2462,3.3591,25.059,25.059,3,,3.2462,3.2600,3.2678,3.2794,3.2892,3.2994,3.3090,3.3192,3.3296,3.3395,3.3493,3.3591,0,0,0,0,0,0,0,0,0,0,0,0,25.059
