timestamp,pack_voltage,pack_current,soc,min_cell_volt,max_cell_volt,min_temp,max_temp,state,faults,cell_0_0,cell_0_1,cell_0_2,cell_0_3,cell_0_4,cell_0_5,cell_0_6,cell_0_7,cell_0_8,cell_0_9,cell_0_10,cell_0_11,bal_0_0,bal_0_1,bal_0_2,bal_0_3,bal_0_4,bal_0_5,bal_0_6,bal_0_7,bal_0_8,bal_0_9,bal_0_10,bal_0_11,temp_0_0
1716816209493,39.6468,0,0.0,3.2463,3.3588,25.046,25.046,3,,3.2463,3.2602,3.2677,3.2797,3.2890,3.2988,3.3093,3.3194,3.3293,3.3392,3.3490,3.3588,0,0,0,0,0,0,0,0,0,0,0,0,25.061
1716816209513,39.6468,0,0.0,3.2463,3.3588,25.046,25.046,3,,3.2463,3.2602,3.2677,3.2797,3.2890,3.2988,3.3093,3.3194,3.3293,3.3392,3.3490,3.3588,0,0,0,0,0,0,0,0,0,0,0,0,25.046
1716816209754,39.6468,0,0.0,3.2465,3.3589,25.056,25.056,3,,3.2465,3.2596,3.2677,3.2791,3.2889,3.2988,3.3093,3.3197,3.3295,3.3392,3.3496,3.3589,0,0,0,0,0,0,0,0,0,0,0,0,25.046
1716816209773,39.6468,0,0.0,3.2465,3.3589,25.056,25.056,3,,3.2465,3.2596,3.2677,3.2791,3.2889,3.2988,3.3093,3.3197,3.3295,3.3392,3.3496,3.3589,0,0,0,0,0,0,0,0,0,0,0,0,25.056
1716816209993,39.6461,0,0.0,3.2472,3.3589,25.065,25.065,3,,3.2472,3.2597,3.2677,3.2794,3.2887,3.2993,3.3087,3.3189,3.3301,3.3388,3.3487,3.3589,0,0,0,0,0,0,0,0,0,0,0,0,25.056
1716816210013,39.6461,0,0.0,3.2472,3.3589,25.065,25.065,3,,3.2472,3.2597,3.2677,3.2794,3.2887,3.2993,3.3087,3.3189,3.3301,3.3388,3.3487,3.3589,0,0,0,0,0,0,0,0,0,0,0,0,25.065
1716816210253,39.6460,0,0.0,3.2474,3.3589,25.059,25.059,3,,3.2474,3.2603,3.2681,3.2793,3.2887,3.2979,3.3086,3.3195,3.3292,3.3392,3.3488,3.3589,0,0,0,0,0,0,0,0,0,0,0,0,25.065
1716816210274,39.6460,0,0.0,3.2474,3.3589,25.059,25.059,3,,3.2474,3.2603,3.2681,3.2793,3.2887,3.2979,3.3086,3.3195,3.3292,3.3392,3.3488,3.3589,0,0,0,0,0,0,0,0,0,0,0,0,25.059
1716816210493,39.6455,0,0.0,3.2458,3.3588,25.046,25.046,3,,3.2458,3.2603,3.2669,3.2788,3.2890,3.2983,3.3095,3.3197,3.3293,3.3398,3.3492,3.3588,0,0,0,0,0,0,0,0,0,0,0,0,25.059
1716816210513,39.6455,0,0.0,3.2458,3.3588,25.046,25.046,3,,3.2458,3.2603,3.2669,3.2788,3.2890,3.2983,3.3095,3.3197,3.3293,3.3398,3.3492,3.3588,0,0,0,0,0,0,0,0,0,0,0,0,25.046
1716816210753,39.6469,0,0.0,3.2472,3.3586,25.050,25.050,3,,3.2472,3.2605,3.2677,3.2790,3.2890,3.2990,3.3092,3.3195,3.3289,3.3391,3.3493,3.3586,0,0,0,0,0,0,0,0,0,0,0,0,25.046
1716816210773,39.6469,0,0.0,3.2472,3.3586,25.050,25.050,3,,3.2472,3.2605,3.2677,3.2790,3.2890,3.2990,3.3092,3.3195,3.3289,3.3391,3.3493,3.3586,0,0,0,0,0,0,0,0,0,0,0,0,25.050
1716816210993,39.6445,0,0.0,3.2469,3.3586,25.046,25.046,3,,3.2469,3.2602,3.2681,3.2787,3.2896,3.2985,3.3089,3.3186,3.3286,3.3386,3.3492,3.3586,0,0,0,0,0,0,0,0,0,0,0,0,25.050
1716816211013,39.6445,0,0.0,3.2469,3.3586,25.046,25.046,3,,3.2469,3.2602,3.2681,3.2787,3.2896,3.2985,3.3089,3.3186,3.3286,3.3386,3.3492,3.3586,0,0,0,0,0,0,0,0,0,0,0,0,25.046
1716816211253,39.6460,0,0.0,3.2471,3.3586,25.054,25.054,3,,3.2471,3.2599,3.2680,3.2793,3.2886,3.2990,3.3092,3.3192,3.3293,3.3392,3.3487,3.3586,0,0,0,0,0,0,0,0,0,0,0,0,25.046
1716816211273,39.6460,0,0.0,3.2471,3.3586,25.054,25.054,3,,3.2471,3.2599,3.2680,3.2793,3.2886,3.2990,3.3092,3.3192,3.3293,3.3392,3.3487,3.3586,0,0,0,0,0,0,0,0,0,0,0,0,25.054
1716816211493,39.6472,0,0.0,3.2468,3.3585,25.054,25.054,3,,3.2468,3.2602,3.2681,3.2794,3.2895,3.2986,3.3093,3.3189,3.3292,3.3394,3.3493,3.3585,0,0,0,0,0,0,0,0,0,0,0,0,25.054
1716816211513,39.6472,0,0.0,3.2468,3.3585,25.054,25.054,3,,3.2468,3.2602,3.2681,3.2794,3.2895,3.2986,3.3093,3.3189,3.3292,3.3394,3.3493,3.3585,0,0,0,0,0,0,0,0,0,0,0,0,25.054
1716816211753,39.6466,0,0.0,3.2466,3.3580,25.045,25.045,3,,3.2466,3.2602,3.2678,3.2796,3.2893,3.2991,3.3095,3.3197,3.3292,3.3388,3.3488,3.3580,0,0,0,0,0,0,0,0,0,0,0,0,25.054
1716816211773,39.6466,0,0.0,3.2466,3.3580,25.045,25.045,3,,3.2466,3.2602,3.2678,3.2796,3.2893,3.2991,3.3095,3.3197,3.3292,3.3388,3.3488,3.3580,0,0,0,0,0,0,0,0,0,0,0,0,25.045
1716816211994,39.6468,0,0.0,3.2458,3.3588,25.045,25.045,3,,3.2458,3.2600,3.2674,3.2796,3.2890,3.2990,3.3101,3.3200,3.3296,3.3388,3.3487,3.3588,0,0,0,0,0,0,0,0,0,0,0,0,25.045
1716816212013,39.6468,0,0.0,3.2458,3.3588,25.045,25.045,3,,3.2458,3.2600,3.2674,3.2796,3.2890,3.2990,3.3101,3.3200,3.3296,3.3388,3.3487,3.3588,0,0,0,0,0,0,0,0,0,0,0,0,25.045
1716816212253,39.6478,0,0.0,3.2465,3.3589,25.059,25.059,3,,3.2465,3.2605,3.2678,3.2790,3.2886,3.2988,3.3099,3.3199,3.3292,3.3389,3.3499,3.3589,0,0,0,0,0,0,0,0,0,0,0,0,25.045
1716816212273,39.6478,0,0.0,3.2465,3.3589,25.059,25.059,3,,3.2465,3.2605,3.2678,3.2790,3.2886,3.2988,3.3099,3.3199,3.3292,3.3389,3.3499,3.3589,0,0,0,0,0,0,0,0,0,0,0,0,25.059
1716816212493,39.6475,0,0.0,3.2465,3.3591,25.041,25.041,3,,3.2465,3.2602,3.2678,3.2794,3.2890,3.2991,3.3092,3.3194,3.3296,3.3394,3.3488,3.3591,0,0,0,0,0,0,0,0,0,0,0,0,25.059
1716816212513,39.6475,0,0.0,3.2465,3.3591,25.041,25.041,3,,3.2465,3.2602,3.2678,3.2794,3.2890,3.2991,3.3092,3.3194,3.3296,3.3394,3.3488,3.3591,0,0,0,0,0,0,0,0,0,0,0,0,25.041
1716816212755,39.6472,0,0.0,3.2465,3.3592,25.054,25.054,3,,3.2465,3.2607,3.2680,3.2791,3.2886,3.2982,3.3093,3.3192,3.3295,3.3394,3.3496,3.3592,0,0,0,0,0,0,0,0,0,0,0,0,25.041
1716816212773,39.6472,0,0.0,3.2465,3.3592,25.054,25.054,3,,3.2465,3.2607,3.2680,3.2791,3.2886,3.2982,3.3093,3.3192,3.3295,3.3394,3.3496,3.3592,0,0,0,0,0,0,0,0,0,0,0,0,25.054
