timestamp,pack_voltage,pack_current,soc,min_cell_volt,max_cell_volt,min_temp,max_temp,state,faults,cell_0_0,cell_0_1,cell_0_2,cell_0_3,cell_0_4,cell_0_5,cell_0_6,cell_0_7,cell_0_8,cell_0_9,cell_0_10,cell_0_11,bal_0_0,bal_0_1,bal_0_2,bal_0_3,bal_0_4,bal_0_5,bal_0_6,bal_0_7,bal_0_8,bal_0_9,bal_0_10,bal_0_11
1716807408365,39.6463,0,0.0,3.2492,3.3569,100.000,-20.000,3,,3.3568,3.3504,3.3377,3.3292,3.3185,3.3089,3.2994,3.2893,3.2790,3.2693,3.2593,3.2491,0,0,0,0,0,0,0,0,0,0,0,0
1716807408385,39.6463,0,0.0,3.2492,3.3569,100.000,-20.000,3,,3.3569,3.3498,3.3377,3.3293,3.3183,3.3084,3.2994,3.2901,3.2790,3.2693,3.2588,3.2492,0,0,0,0,0,0,0,0,0,0,0,0
1716807408625,39.6461,0,0.0,3.2484,3.3565,100.000,-20.000,3,,3.3569,3.3498,3.3377,3.3293,3.3183,3.3084,3.2994,3.2901,3.2790,3.2693,3.2588,3.2492,0,0,0,0,0,0,0,0,0,0,0,0
1716807408645,39.6461,0,0.0,3.2484,3.3565,100.000,-20.000,3,,3.3565,3.3502,3.3382,3.3296,3.3188,3.3086,3.2994,3.2898,3.2787,3.2693,3.2587,3.2484,0,0,0,0,0,0,0,0,0,0,0,0
1716807408866,39.6471,0,0.0,3.2486,3.3563,100.000,-20.000,3,,3.3565,3.3502,3.3382,3.3296,3.3188,3.3086,3.2994,3.2898,3.2787,3.2693,3.2587,3.2484,0,0,0,0,0,0,0,0,0,0,0,0
1716807408886,39.6471,0,0.0,3.2486,3.3563,100.000,-20.000,3,,3.3563,3.3496,3.3385,3.3295,3.3188,3.3089,3.2994,3.2899,3.2797,3.2692,3.2587,3.2486,0,0,0,0,0,0,0,0,0,0,0,0
1716807409125,39.6446,0,0.0,3.2487,3.3566,100.000,-20.000,3,,3.3563,3.3496,3.3385,3.3295,3.3188,3.3089,3.2994,3.2899,3.2797,3.2692,3.2587,3.2486,0,0,0,0,0,0,0,0,0,0,0,0
1716807409146,39.6446,0,0.0,3.2487,3.3566,100.000,-20.000,3,,3.3566,3.3496,3.3382,3.3299,3.3182,3.3076,3.2993,3.2896,3.2794,3.2692,3.2582,3.2487,0,0,0,0,0,0,0,0,0,0,0,0
1716807409366,39.6477,0,0.0,3.2487,3.3568,100.000,-20.000,3,,3.3566,3.3496,3.3382,3.3299,3.3182,3.3076,3.2993,3.2896,3.2794,3.2692,3.2582,3.2487,0,0,0,0,0,0,0,0,0,0,0,0
1716807409386,39.6477,0,0.0,3.2487,3.3568,100.000,-20.000,3,,3.3568,3.3505,3.3376,3.3295,3.3189,3.3093,3.2997,3.2898,3.2791,3.2687,3.2590,3.2487,0,0,0,0,0,0,0,0,0,0,0,0
1716807409625,39.6452,0,0.0,3.2484,3.3568,100.000,-20.000,3,,3.3568,3.3505,3.3376,3.3295,3.3189,3.3093,3.2997,3.2898,3.2791,3.2687,3.2590,3.2487,0,0,0,0,0,0,0,0,0,0,0,0
1716807409645,39.6452,0,0.0,3.2484,3.3568,100.000,-20.000,3,,3.3568,3.3496,3.3383,3.3293,3.3189,3.3092,3.2991,3.2896,3.2784,3.2689,3.2587,3.2484,0,0,0,0,0,0,0,0,0,0,0,0
1716807409866,39.6481,0,0.0,3.2486,3.3566,100.000,-20.000,3,,3.3568,3.3496,3.3383,3.3293,3.3189,3.3092,3.2991,3.2896,3.2784,3.2689,3.2587,3.2484,0,0,0,0,0,0,0,0,0,0,0,0
1716807409887,39.6481,0,0.0,3.2486,3.3566,100.000,-20.000,3,,3.3566,3.3496,3.3379,3.3296,3.3194,3.3096,3.2999,3.2895,3.2790,3.2698,3.2587,3.2486,0,0,0,0,0,0,0,0,0,0,0,0
1716807410126,39.6486,0,0.0,3.2486,3.3571,100.000,-20.000,3,,3.3566,3.3496,3.3379,3.3296,3.3194,3.3096,3.2999,3.2895,3.2790,3.2698,3.2587,3.2486,0,0,0,0,0,0,0,0,0,0,0,0
1716807410146,39.6486,0,0.0,3.2486,3.3571,100.000,-20.000,3,,3.3571,3.3499,3.3380,3.3292,3.3188,3.3090,3.2996,3.2899,3.2799,3.2697,3.2590,3.2486,0,0,0,0,0,0,0,0,0,0,0,0
1716807410366,39.6464,0,0.0,3.2491,3.3557,100.000,-20.000,3,,3.3571,3.3499,3.3380,3.3292,3.3188,3.3090,3.2996,3.2899,3.2799,3.2697,3.2590,3.2486,0,0,0,0,0,0,0,0,0,0,0,0
1716807410385,39.6464,0,0.0,3.2491,3.3557,100.000,-20.000,3,,3.3557,3.3501,3.3379,3.3289,3.3192,3.3089,3.2997,3.2895,3.2793,3.2693,3.2590,3.2491,0,0,0,0,0,0,0,0,0,0,0,0
1716807410627,39.6468,0,0.0,3.2486,3.3572,100.000,-20.000,3,,3.3557,3.3501,3.3379,3.3289,3.3192,3.3089,3.2997,3.2895,3.2793,3.2693,3.2590,3.2491,0,0,0,0,0,0,0,0,0,0,0,0
